Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/GAIL Reward,Is Training
10000,2.1949365,0.12975098,0.023452703,200.0,-0.5901999741792678,-0.2950999870896339,0.0,1.0
20000,2.17983,0.22198614,0.05380585,200.0,-0.9367517290701126,-0.4683758645350563,38.814984116060984,1.0
30000,2.1637886,0.20075758,1.1666299,200.0,-1.4925810373609973,-0.7462905186804987,31.138209808440436,1.0
40000,2.1609967,0.16045006,1.6812047,200.0,-1.3296737201642572,-0.6648368600821286,21.883501408392924,1.0
50000,2.1618898,0.06791591,2.2480714,200.0,-1.0053162794820099,-0.5026581397410049,14.38492966529935,1.0
60000,2.1689386,0.04456837,2.6687527,200.0,-0.5765636101365089,-0.28828180506825446,11.769767863100226,1.0
70000,2.1796033,0.048700992,2.990208,200.0,-0.5401999726891518,-0.2700999863445759,12.926329766379462,1.0
80000,2.179716,0.036716275,3.2818828,200.0,-0.5401999726891518,-0.2700999863445759,15.288815096572593,1.0
90000,2.178021,0.018550118,3.5707085,200.0,-0.5401999726891518,-0.2700999863445759,15.677636841069097,1.0
100000,2.169576,-0.00632822,3.8015394,200.0,-0.5590678983420696,-0.2795339491710348,12.938935093159946,1.0
110000,2.1524801,-0.016899714,3.9911945,200.0,-0.8806255613552764,-0.4403127806776382,13.539637804031372,1.0
120000,2.1284232,-0.031906143,4.101626,200.0,-1.2656902460490955,-0.6328451230245478,17.550172342973596,1.0
130000,2.0995657,-0.076611474,4.310221,200.0,-2.397343020049893,-1.1986715100249465,19.112795063427516,1.0
140000,2.059305,-0.12899905,4.559113,205.87719298245614,-5.30687410521264,-2.65343705260632,23.916355052772833,1.0
150000,2.0142922,-0.22076656,4.8642564,206.0810810810811,-5.963422877424293,-2.9817114387121464,24.90286986033122,1.0
160000,2.02167,-0.23312974,5.4177413,253.390243902439,-6.213645850121975,-3.1068229250609876,57.95284383222461,1.0
170000,2.0036597,-0.22950028,6.1728616,271.73333333333335,-6.037955473026922,-3.018977736513461,50.24778057682899,1.0
180000,1.9577729,-0.2573511,6.8294516,346.7142857142857,-4.605556560059388,-2.302778280029694,83.31496158352604,1.0
190000,1.9044992,-0.24294205,7.8208895,395.3333333333333,-6.159985612854362,-3.079992806427181,95.80707504570483,1.0
200000,1.8666322,-0.22330695,8.517651,375.4347826086956,-5.097027004089044,-2.548513502044522,96.87362175337647,1.0
210000,1.8544413,-0.19582869,8.994853,516.0909090909091,-4.148874140598557,-2.0744370702992785,157.8796522183852,1.0
220000,1.7882727,-0.103831924,9.747772,738.3333333333334,-6.397869111349185,-3.1989345556745925,221.3127712806066,1.0
230000,1.6897801,-0.047619782,10.610359,708.0,-8.284660225468022,-4.142330112734011,218.96282376561845,1.0
240000,1.6531935,-0.016612496,11.504842,857.5,-3.6717027351260185,-1.8358513675630093,285.76428750157356,1.0
250000,1.574388,-0.04858012,13.191164,1234.3333333333333,-14.747072140375773,-7.373536070187886,371.04353857040405,1.0
260000,1.5505774,-0.07365309,13.124898,2035.75,-3.907357754185796,-1.953678877092898,681.2196540236473,1.0
270000,1.474194,-0.00048096775,13.699575,1195.25,3.2607473880052567,1.6303736940026283,402.3097949028015,1.0
280000,1.4484658,0.028816275,14.758088,None,None,None,None,1.0
290000,1.4093095,0.047409076,15.26422,3593.75,24.15604184314725,12.078020921573625,1320.780766904354,1.0
300000,1.3681074,0.078706,15.946978,3552.0,24.95605946491317,12.478029732456585,1287.525264064471,1.0
310000,1.3252139,0.16869724,16.468143,4999.0,39.99999207351357,19.999996036756784,1810.0636579990387,1.0
320000,1.290892,0.26523665,17.138557,4999.0,15.49998595379293,7.749992976896465,1675.8724681735039,1.0
330000,1.2681408,0.3001956,18.243345,4999.0,46.99998953511628,23.49999476755814,1803.3213194211323,1.0
340000,1.219571,0.38308677,18.179926,4999.0,67.99999392032623,33.99999696016312,1822.071795463562,1.0
350000,1.2227576,0.4276973,18.802382,4999.0,103.49999609321821,51.74999804660911,1947.6340226978064,1.0
360000,1.2064229,0.53429693,19.108109,4999.0,47.33332066556128,23.66666033278064,1739.500671217839,1.0
370000,1.2225066,0.5951366,19.711,4999.0,76.99999174980137,38.499995874900684,1824.7764068990946,1.0
380000,1.2347727,0.6641761,20.527552,None,None,None,None,1.0
390000,1.2023681,0.7453675,21.392982,4999.0,91.49998974241316,45.74999487120658,1910.3283580144246,1.0
400000,1.2252271,0.83626795,21.962118,4999.0,124.1666602207503,62.08333011037515,2004.7543965180714,1.0
410000,1.2096157,0.939494,22.318989,4999.0,124.74999151856173,62.374995759280864,1876.6476464271545,1.0
420000,1.235885,0.95348,21.944456,4999.0,70.99999004602432,35.49999502301216,1841.2321116924286,1.0
430000,1.2825408,1.0228488,23.330513,4999.0,128.33332750111973,64.16666375055986,1988.1474730173748,1.0
440000,1.3046429,1.0651629,23.686413,4999.0,149.49999678134918,74.74999839067459,1972.8712739944458,1.0
450000,1.3173054,1.146497,23.86202,3664.0,104.1003306399798,52.0501653199899,1513.7580429712932,1.0
460000,1.2826532,1.2072592,24.953613,3441.0,73.47825818171259,36.739129090856295,1307.8860003153484,1.0
470000,1.4944485,1.4533052,27.006258,4999.0,131.33332333473177,65.66666166736589,2003.997892697652,1.0
480000,1.5139643,1.5658346,27.603432,None,None,None,None,1.0
490000,1.4995769,1.5837711,28.07647,4999.0,163.33332766095796,81.66666383047898,2161.642923037211,1.0
500000,1.5229784,1.7049751,29.362745,4999.0,164.99999290526225,82.49999645263112,2166.2850119272866,1.0
510000,1.5593697,1.7816349,30.284397,4999.0,172.4999952451908,86.2499976225954,2079.2989325523376,1.0
520000,1.5941545,1.8106527,32.046673,4999.0,193.99999660253525,96.99999830126762,2231.555367708206,1.0
530000,1.5934703,1.82134,32.032543,4999.0,198.24999823898543,99.12499911949271,2249.7896605730057,1.0
540000,1.5949372,1.8533964,32.401176,4999.0,199.4999964237213,99.74999821186066,2139.7204971313477,1.0
550000,1.5880902,1.874218,32.66215,4999.0,194.2499972730875,97.12499863654375,2215.528231859207,1.0
560000,1.5875984,1.8488376,32.73261,4999.0,190.8333317330495,95.41666586652475,2172.6052815914154,1.0
570000,1.6136134,1.8827868,33.290257,4999.0,204.83332902014567,102.41666451007283,2037.045370022456,1.0
580000,1.6716831,1.8917764,33.479702,None,None,None,None,1.0
