Steps,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/GAIL Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Policy/Entropy,Is Training
20000,0.36162356,0.5536516,130.0,-4.1512009993195536,-2.0756004996597768,0.38270883709192277,0.22641395,0.025345266,0.00029993817,6.516195,0.35570464,0.67231786,2.1889234,1.0
30000,0.1720889,0.94790745,130.0,-3.9262009799480437,-1.9631004899740219,24.51671340893954,0.83093446,0.023577578,0.00029987568,2.0036864,0.20362207,0.7376262,2.179438,1.0
40000,0.027198505,1.0706751,130.0,-3.8887008666992187,-1.9443504333496093,20.441490212175996,0.3014345,0.023039354,0.00029981285,0.671337,0.14104326,0.86977077,2.1712961,1.0
50000,-0.1351514,1.0356562,130.0,-3.56370083540678,-1.78185041770339,13.906283934786916,0.12218681,0.019986663,0.00029974995,0.44958317,0.107434444,0.8723183,2.1452928,1.0
60000,-0.2265511,0.9169415,130.0,-3.6512007266283035,-1.8256003633141518,10.934682923811488,0.07647987,0.019527027,0.00029968712,0.35598925,0.084484205,0.88399154,2.108596,1.0
70000,-0.30591112,0.78784573,130.0,-3.363700640201569,-1.6818503201007844,8.484044505679048,0.05675298,0.022506392,0.0002996242,0.3097797,0.06996382,0.8936092,2.0508432,1.0
80000,-0.35909554,0.65959793,130.0,-3.338700594007969,-1.6693502970039844,7.407530481438153,0.042677827,0.020156223,0.00029956133,0.28081128,0.061405122,0.90088147,1.9859087,1.0
90000,-0.43274042,0.5528916,130.0,-2.576200415659696,-1.288100207829848,6.968929034238681,0.030982396,0.024223408,0.0002994984,0.2585142,0.055953227,0.9083717,1.9225198,1.0
100000,-0.47380584,0.52285916,130.0,-2.6512003663927315,-1.3256001831963657,7.074426845426205,0.038967825,0.024511201,0.0002994355,0.25211966,0.05665926,0.91245824,1.8207886,1.0
110000,-0.491335,0.58310467,130.0,-3.1262004100717604,-1.5631002050358802,8.890343994140858,0.06425716,0.025269592,0.00029937265,0.2657605,0.06452202,0.9095229,1.7061889,1.0
120000,-0.45407125,0.82394665,130.0,-2.926200418174267,-1.4631002090871335,14.48455677991733,0.13464823,0.028914144,0.00029930976,0.32397175,0.08958612,0.8969061,1.5383452,1.0
130000,-0.5423335,0.92885673,135.35,-3.308520506042987,-1.6542602530214936,16.301469744270435,0.17759694,0.024341334,0.00029924692,0.37484065,0.11447301,0.88148993,1.3712839,1.0
140000,-0.5982708,1.1186941,144.525,-3.4978554983623327,-1.7489277491811663,20.184989750146634,0.15830207,0.02667033,0.00029918476,0.40052623,0.12616394,0.87206686,1.2943445,1.0
150000,-0.66650635,1.3244157,146.0,-2.8463018267140003,-1.4231509133570002,20.072219819978248,0.1436357,0.019889178,0.00029912294,0.43718615,0.13868466,0.86258346,1.1694182,1.0
160000,-0.71869147,1.6022531,154.40322580645162,-3.350466099369233,-1.6752330496846164,24.323118409722067,0.15022594,0.02776884,0.000299061,0.45393568,0.14527328,0.8523799,1.0262076,1.0
170000,-0.7885504,1.80543,168.9090909090909,-2.5156486337935484,-1.2578243168967742,30.495137727232994,0.20510028,0.021198476,0.00029899925,0.5261827,0.1738472,0.83409965,1.0006559,1.0
180000,-0.7167273,1.9757409,168.9056603773585,-2.4704295325685632,-1.2352147662842816,29.452912891622294,0.37042788,0.020002222,0.0002989375,0.55882543,0.18081588,0.8197076,0.85904473,1.0
190000,-0.6632768,1.9295762,189.3684210526316,-2.145046864569719,-1.0725234322848596,40.848334131795646,0.81470597,0.030576242,0.0002988753,0.61697495,0.20503539,0.805757,0.89176494,1.0
200000,-0.6564508,2.233962,184.47222222222223,-2.0661775219653333,-1.0330887609826667,39.40819964227932,0.31546333,0.02742877,0.00029881328,0.59121615,0.19420524,0.80407685,0.7980849,1.0
210000,-0.52357113,2.6632266,238.08823529411765,-1.6039203901376042,-0.8019601950688021,54.44079729212182,0.33589348,0.020337025,0.00029874968,0.63387287,0.21518312,0.78946203,0.7714951,1.0
220000,-0.43621013,2.8188398,278.0882352941176,-1.0557299191680025,-0.5278649595840013,75.31600811551598,0.5290687,0.023423675,0.000298688,0.700082,0.22713995,0.7643473,0.7112597,1.0
230000,-0.41147518,2.8170865,285.19444444444446,-0.6054132638439056,-0.3027066319219528,68.13034729947967,0.43361196,0.026094235,0.00029862585,0.6603953,0.21884157,0.772813,0.7662561,1.0
240000,-0.29970744,2.7730675,292.48387096774195,-0.8239218209471021,-0.41196091047355105,65.85606852945473,0.3733373,0.024085304,0.00029856394,0.67173475,0.22040415,0.76799035,0.7345193,1.0
250000,-0.23082732,3.1311433,299.4761904761905,-1.1039046143740416,-0.5519523071870208,77.31477548480034,0.43518722,0.025414808,0.00029850224,0.71760017,0.2457915,0.7552117,0.76210207,1.0
260000,-0.1537439,2.970492,357.8888888888889,-0.2918819983800252,-0.1459409991900126,101.04659458884487,0.42201108,0.028591836,0.00029844054,0.7276787,0.24508086,0.75023216,0.7980989,1.0
270000,-0.07514797,3.2044356,493.8181818181818,0.724299430847168,0.362149715423584,124.49202902056277,None,None,None,None,None,None,0.8762132,1.0
280000,-0.010674735,3.182552,413.3809523809524,1.512361491099,0.7561807455495,108.85064061766579,0.3491768,0.02995504,0.00029837905,0.7398592,0.25491744,0.74247617,0.8927748,1.0
290000,-0.006585097,2.9049814,466.0344827586207,1.5790061786256988,0.7895030893128494,130.42360823935476,0.38239935,0.022874342,0.00029831738,0.7278224,0.24838944,0.74387306,0.78819525,1.0
300000,0.03284763,3.1305883,469.7647058823529,2.433999501285143,1.2169997506425716,149.64290696382523,0.3568317,0.030654835,0.00029825483,0.72549134,0.24756734,0.74628013,0.71317977,1.0
310000,0.009455355,3.025989,429.7391304347826,0.9155825643489758,0.4577912821744879,113.82679632926981,0.3901188,0.024458649,0.00029819302,0.73389465,0.2504695,0.74284554,0.85967296,1.0
320000,0.11505772,3.2809768,426.3157894736842,0.07243122552570544,0.03621561276285272,122.77037935507924,0.44812164,0.018591594,0.00029812974,0.76932985,0.2619019,0.73161954,0.75778085,1.0
330000,0.17537668,3.4564679,539.375,3.721105788896481,1.8605528944482406,174.16522068182627,0.47602463,0.022483625,0.00029806767,0.8073938,0.28271204,0.7194608,0.8603101,1.0
340000,0.14421059,2.9498868,545.9545454545455,3.9585903610872184,1.9792951805436092,143.39160888852632,0.5709065,0.02295922,0.0002980056,0.811881,0.277297,0.71210355,0.87838316,1.0
350000,0.07872412,2.7869766,520.36,5.835727265030146,2.917863632515073,159.08691355474292,0.39867046,0.029401902,0.00029794377,0.80113155,0.2734695,0.71457386,0.84240216,1.0
360000,0.103873424,2.8730652,469.17391304347825,2.840746883464896,1.420373441732448,134.72703627833044,0.40307295,0.017690007,0.0002978823,0.78630143,0.26400834,0.71569353,0.733457,1.0
370000,0.22906907,3.3745098,465.54545454545456,2.8157815879041497,1.4078907939520748,136.36250542646104,0.4012149,0.021305988,0.00029782078,0.7978143,0.2722549,0.71328056,0.74188495,1.0
380000,0.22846565,3.2497153,481.09090909090907,5.767217641527003,2.8836088207635013,165.35873941586098,0.42544782,0.02033543,0.0002977587,0.83362097,0.29209214,0.7021648,0.8044545,1.0
390000,0.23070306,3.2531815,545.0909090909091,6.549871814521876,3.274935907260938,185.5193249705163,0.32531324,0.020762345,0.00029769712,0.8458641,0.29443133,0.698166,0.75559556,1.0
400000,0.27911943,3.1316953,561.8947368421053,7.887420092758379,3.9437100463791896,169.38720175859174,0.361891,0.023496034,0.000297635,0.82405037,0.2783778,0.6999656,0.7138843,1.0
410000,0.32264632,3.1268594,479.0,5.6897135845252444,2.8448567922626222,155.09440730015436,0.33342686,0.030167507,0.0002975735,0.825515,0.28332117,0.7010964,0.7378264,1.0
420000,0.3804758,3.342322,495.2352941176471,6.648561631678604,3.324280815839302,166.2484419577886,0.3668478,0.024179455,0.00029751202,0.8210804,0.28026783,0.7029,0.7631077,1.0
430000,0.30964118,3.0430753,507.4166666666667,5.316265648851792,2.658132824425896,157.36142646117756,0.45239526,0.02844681,0.0002974492,0.8285311,0.28430474,0.70153594,0.707018,1.0
440000,0.33523163,2.8474588,523.7777777777778,7.211357417859529,3.6056787089297644,158.24083150687972,0.4185649,0.025289873,0.00029738768,0.79859006,0.27390736,0.7088411,0.65452176,1.0
450000,0.3097073,2.6939604,485.25,9.602749569714069,4.8013747848570345,148.3230499651283,0.28892925,0.027987443,0.0002973251,0.7712026,0.26047245,0.7149164,0.68275744,1.0
460000,0.44243178,3.106781,502.1578947368421,6.504630578191657,3.2523152890958285,141.80774651761902,0.29578963,0.02942929,0.0002972629,0.76324373,0.255917,0.71770513,0.7106917,1.0
470000,0.36712396,2.9922712,490.0,9.005965604602048,4.502982802301024,134.98191937004836,0.38313973,0.028366167,0.0002972008,0.8060452,0.27855968,0.711669,0.6510154,1.0
480000,0.38589904,2.6738243,493.09090909090907,7.446634971282699,3.7233174856413496,143.52729292417115,0.36641115,0.026887214,0.00029713882,0.73163015,0.24711065,0.7303825,0.61431676,1.0
490000,0.40909818,2.5262754,402.14285714285717,7.258956573903561,3.6294782869517803,107.83578540491206,0.28967217,0.028608812,0.00029707624,0.7371481,0.24700338,0.7290744,0.6251558,1.0
500000,0.706729,3.2158508,429.5,5.760429948568344,2.880214974284172,134.03786422426884,0.28719315,0.019271957,0.00029701405,0.77858675,0.26704833,0.7169402,0.67803717,1.0
