Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/GAIL Reward,Is Training
10000,2.1929612,-0.7533116,-0.9088533,150.0,-0.5301999822258949,-0.26509999111294746,0.0,1.0
20000,2.1892772,-0.64231396,-0.6822048,150.0,-0.5468666538596153,-0.27343332692980765,15.242210789521534,1.0
30000,2.177571,-0.55497086,-0.16173005,150.0,-0.5301999822258949,-0.26509999111294746,20.120319047444305,1.0
40000,2.1627238,-0.48785993,0.3855098,150.0,-0.8490405611801839,-0.42452028059009195,19.17867671449979,1.0
50000,2.1459394,-0.4222591,0.87451273,150.0,-0.9802000566075245,-0.49010002830376226,17.70702620546023,1.0
60000,2.106146,-0.35967538,1.3574339,150.0,-2.2237485146089906,-1.1118742573044953,20.24946341303087,1.0
70000,2.0711148,-0.35362604,1.9747834,150.0,-2.1071231910624566,-1.0535615955312283,20.203760555539375,1.0
80000,2.0120876,-0.39198348,2.4358332,154.6315789473684,-2.749342167783867,-1.3746710838919336,26.320090460777283,1.0
90000,1.9998887,-0.38634518,2.6932554,161.19444444444446,-3.85538103755924,-1.92769051877962,29.748817489993186,1.0
100000,1.9571657,-0.4188357,3.0324736,161.76785714285714,-3.517432738424224,-1.758716369212112,27.759077736560037,1.0
110000,1.9229022,-0.4998329,3.6497188,184.32692307692307,-5.61398919714758,-2.80699459857379,41.557801792254814,1.0
120000,1.8835254,-0.5335732,4.471506,195.17307692307693,-3.5200042905142674,-1.7600021452571337,37.59367839418925,1.0
130000,1.8535961,-0.54226804,5.3987775,236.075,-4.572415781393647,-2.2862078906968235,66.36769692748786,1.0
140000,1.8494349,-0.5044327,5.901512,229.42857142857142,-2.9606054440685887,-1.4803027220342944,60.42749046552472,1.0
150000,1.7965412,-0.5171252,6.1297054,218.89473684210526,-6.262103342570556,-3.131051671285278,56.532290886609985,1.0
160000,1.8315561,-0.545541,7.2354355,306.82758620689657,-4.337428594714608,-2.168714297357304,108.63048049293715,1.0
170000,1.8031839,-0.52933484,7.6238213,380.73333333333335,-4.826348107308149,-2.4131740536540747,123.37991705040137,1.0
180000,1.7487592,-0.46628067,8.788497,313.0,-4.3828011691570286,-2.1914005845785143,94.07322002887726,1.0
190000,1.7368512,-0.33227962,9.773412,582.0666666666667,-4.269832609364619,-2.1349163046823096,218.99255204200745,1.0
200000,1.6726567,-0.30636388,10.30105,716.2727272727273,0.206198815542918,0.103099407771459,258.2156467804542,1.0
210000,1.5971371,-0.25053644,11.141626,605.8571428571429,-2.666848611373168,-1.333424305686584,212.92176501567548,1.0
220000,1.5647436,-0.18127632,12.685084,668.75,-0.08750910483873807,-0.043754552419369035,229.26919056819037,1.0
230000,1.5135993,-0.15001242,13.219516,552.25,-1.3606516048312187,-0.6803258024156094,193.66103440523148,1.0
240000,1.5098007,-0.082521476,14.418469,1141.6,9.171477437019348,4.585738718509674,406.31320362091066,1.0
250000,1.4649442,0.047057766,15.585038,1202.0,12.009398033842444,6.004699016921222,443.6176965236664,1.0
