Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/GAIL Reward,Is Training
10000,2.1953578,-0.32268938,-0.3847919,130.0,-4.235732420285543,-0.8471466848005851,0.0,1.0
20000,2.191244,-0.4060369,-0.24529019,130.0,-4.227399056404829,-0.8454800264909863,14.700251603499055,1.0
30000,2.1844916,-0.42609608,0.24346788,130.0,-4.564899188280106,-0.9129800062626601,19.834432561369614,1.0
40000,2.1761239,-0.43471915,0.5081138,130.0,-4.277398954331875,-0.8554800327867269,15.248648502072319,1.0
50000,2.1710305,-0.41532806,0.6006812,130.0,-4.027399240434169,-0.8054800126701593,11.307439814461395,1.0
60000,2.1599638,-0.41480258,0.6528231,130.0,-4.2023991137743,-0.8404800267269213,9.60697950127845,1.0
70000,2.1406367,-0.41571778,0.61133593,130.0,-3.964899291843176,-0.792980002053082,8.420283141522669,1.0
80000,2.0998054,-0.4256009,0.60736954,130.0,-4.427399211376906,-0.8854800073429943,7.431195737957023,1.0
90000,2.04374,-0.4037461,0.53708905,130.0,-3.9523993082344533,-0.7904800113290549,6.636192280985415,1.0
100000,1.9755491,-0.42011485,0.49968672,130.0,-4.102399477362633,-0.8204800065606832,5.975274280260782,1.0
110000,1.9077216,-0.42759576,0.46520504,130.0,-3.4614904324213662,-0.6922981956917228,5.258722570781229,1.0
120000,1.8455918,-0.4122292,0.40144253,130.0,-3.3632103033565186,-0.6726421752340488,5.48038559284917,1.0
130000,1.8027139,-0.38939577,0.41565865,130.0,-3.139899521693587,-0.6279800188262016,5.489341250783764,1.0
140000,1.7047694,-0.36620528,0.5082515,130.0,-3.339899538643658,-0.6679800097597763,6.675451849377714,1.0
150000,1.5307503,-0.36062512,0.6438788,134.18309859154928,-3.1538845429196956,-0.6307770101120695,12.556397556141018,1.0
160000,1.3362021,-0.34441176,0.9823818,135.8840579710145,-3.6097995411408577,-0.7219600070660052,18.182050425718586,1.0
170000,1.1378777,-0.35079926,1.421436,150.47540983606558,-3.137638743783607,-0.6275278848947071,26.135317980159137,1.0
180000,0.848742,-0.323639,2.4878347,200.12,-2.396447417140007,-0.47928958520293236,57.75158252160996,1.0
190000,0.7552113,-0.28045663,3.2343788,241.9189189189189,-2.245815765213322,-0.44916321498316686,82.37147102887566,1.0
200000,0.71153235,-0.25227603,3.2652617,243.86486486486487,-1.9972624261128276,-0.3994526043534279,60.38063198185869,1.0
