Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/GAIL Reward,Is Training
10000,2.196573,0.18410584,0.14589956,130.0,-3.8428676123420398,-1.9214338061710199,0.0,1.0
20000,2.1918795,-0.02562126,0.13328698,130.0,-3.826200957596302,-1.913100478798151,10.564390312507749,1.0
30000,2.1782417,-0.113975696,0.41163296,130.0,-3.8387009531259535,-1.9193504765629767,13.283459488116204,1.0
40000,2.160417,-0.16759332,0.6016902,130.0,-3.601200832426548,-1.800600416213274,11.596942349988968,1.0
50000,2.1384063,-0.28461283,0.67505234,130.0,-3.3637007772922516,-1.6818503886461258,9.617288457951508,1.0
60000,2.1191852,-0.32672998,0.68655497,130.0,-3.4095340743660927,-1.7047670371830463,8.145887756409744,1.0
70000,2.0877724,-0.4168487,0.6382698,130.0,-3.2762006655335427,-1.6381003327667714,7.17350224503316,1.0
80000,2.0470052,-0.47741652,0.5642056,130.0,-3.2012006282806396,-1.6006003141403198,6.288632479310036,1.0
90000,1.9704891,-0.52611685,0.49442443,130.0,-3.3012004494667053,-1.6506002247333527,5.344576879474334,1.0
100000,1.870272,-0.60150725,0.4120503,130.0,-2.6137003456242383,-1.3068501728121191,5.138010377343744,1.0
110000,1.7713006,-0.6518506,0.37643835,130.0,-2.1928668823657613,-1.0964334411828807,6.04387141318258,1.0
120000,1.7070402,-0.6529341,0.43266153,130.0,-1.769443410675268,-0.884721705337634,7.375251906691119,1.0
130000,1.6095524,-0.63487476,0.4687117,130.0,-2.1012002187781036,-1.0506001093890518,7.4532166861929,1.0
140000,1.4577677,-0.50925696,0.77227,132.75,-2.776722798962146,-1.388361399481073,15.966668998869135,1.0
150000,1.334898,-0.47140494,1.0724967,140.63636363636363,-3.074100412428379,-1.5370502062141895,20.976078392269923,1.0
160000,1.1782911,-0.5240637,1.4341784,145.231884057971,-3.014754108760668,-1.507377054380334,24.20461825572926,1.0
170000,1.0997071,-0.5996066,1.6854155,157.03333333333333,-2.7232737448066473,-1.3616368724033237,28.047485126857644,1.0
180000,0.9843141,-0.6130904,2.1872456,173.12962962962962,-2.2477670830708965,-1.1238835415354482,28.269169464396935,1.0
190000,0.9142232,-0.546697,2.203561,188.61818181818182,-2.1450789000705948,-1.0725394500352974,44.7843466734048,1.0
200000,0.85559434,-0.48402703,2.5532312,199.41666666666666,-1.2588335657104228,-0.6294167828552114,42.711703216734655,1.0
210000,0.8685136,-0.42382354,2.6543615,233.31578947368422,-0.8845949343128784,-0.4422974671564392,48.6893853782802,1.0
220000,0.81319016,-0.32905152,2.6880348,241.73170731707316,-0.8323821052485569,-0.41619105262427847,63.372977223924615,1.0
230000,0.8471901,-0.24961525,3.745692,305.8965517241379,-0.06137959222341406,-0.03068979611170703,85.28347032851187,1.0
240000,0.9351375,-0.1831993,3.6886318,360.8076923076923,0.5714634928107262,0.2857317464053631,111.23078526616096,1.0
250000,0.81699336,-0.17290582,3.137775,321.6470588235294,1.0251996823353693,0.5125998411676846,86.89538810192607,1.0
260000,0.97071266,-0.068892114,3.580554,431.22222222222223,1.7520105646302302,0.8760052823151151,119.37897655088454,1.0
270000,0.91903734,-0.030679572,3.5850055,570.2777777777778,3.032513848372868,1.516256924186434,172.9449523265163,1.0
280000,0.9047132,-0.0119545,3.347355,444.1111111111111,2.2910699511275574,1.1455349755637787,147.47792444554815,1.0
290000,0.89883095,0.013063245,3.256244,628.8888888888889,5.009567643074613,2.5047838215373064,158.02921289676115,1.0
300000,0.82284147,0.119460694,3.2965302,473.25,4.055149352177978,2.027574676088989,134.05931994989515,1.0
310000,0.7743603,0.08066874,2.879113,490.16,3.4617672400176525,1.7308836200088262,143.70495801270008,1.0
320000,0.84325475,0.12071151,3.3888972,472.94117647058823,4.522858354975195,2.2614291774875976,139.98371033808763,1.0
330000,0.757565,0.17651628,3.009058,484.0,4.322999274358153,2.1614996371790767,146.34328801572323,1.0
340000,0.7921503,0.18250042,3.271191,445.0,3.4107992339879276,1.7053996169939638,140.59284612933794,1.0
350000,0.81156456,0.16349266,3.074805,578.1904761904761,6.455589436881599,3.2277947184407996,176.87429445343358,1.0
360000,0.7829936,0.20607966,3.0900865,493.3157894736842,6.690609878615329,3.3453049393076646,154.31940786540508,1.0
370000,0.7583148,0.2662978,3.2761393,514.4782608695652,7.578544723716649,3.7892723618583246,162.66716769066724,1.0
380000,0.78696865,0.3207704,3.1245673,535.421052631579,6.518118870351463,3.2590594351757316,167.87030100300908,1.0
390000,0.7029364,0.39447755,3.067012,443.3888888888889,4.855566145127846,2.427783072563923,142.56807020906774,1.0
400000,0.69086635,0.34319672,2.9557087,481.60869565217394,4.099129562387648,2.049564781193824,149.07183891696775,1.0
410000,0.6798867,0.32001948,3.040857,460.3181818181818,5.339553933251988,2.669776966625994,147.75291445377198,1.0
420000,0.76939857,0.3052969,2.9689605,483.6363636363636,5.766708542000163,2.8833542710000817,148.02741863036698,1.0
430000,0.7846615,0.29248795,2.9951406,455.85714285714283,8.599104086558023,4.299552043279012,142.45752222534446,1.0
440000,0.777964,0.3920575,3.1596656,454.6,8.197546604432558,4.098773302216279,151.43436690576766,1.0
450000,0.7468116,0.35791877,3.0387533,479.09090909090907,8.123755690844163,4.061877845422082,146.23988339045772,1.0
460000,0.7427494,0.33000973,2.9200792,418.6521739130435,9.706499475985765,4.853249737992883,127.53558128653094,1.0
470000,0.82765055,0.399102,2.9986773,480.8,10.228639386594296,5.114319693297148,158.6584218852222,1.0
480000,0.77905416,0.44927534,2.9650548,439.125,9.620307832956314,4.810153916478157,139.89564066256085,1.0
490000,0.72205365,0.43478718,2.926006,364.2142857142857,6.891242342069745,3.4456211710348725,123.43728396988341,1.0
500000,0.78362525,0.49756134,3.0713441,429.1904761904762,10.509199280203099,5.254599640101549,131.96712737468383,1.0
510000,0.7065064,0.50395477,2.9898226,430.4761904761905,8.77084696434793,4.385423482173965,123.15156954526901,1.0
520000,0.7289322,0.53443,2.7477198,454.52,9.148895174190402,4.574447587095201,129.17017961502074,1.0
530000,0.74492615,0.6567993,2.7719522,468.04,10.166191421747207,5.083095710873604,139.5351317715645,1.0
540000,0.7578779,0.72983336,3.0311868,443.57894736842104,10.226873361750654,5.113436680875327,140.66608655104707,1.0
550000,0.6866204,0.66876966,2.7010987,439.24,9.911442852538565,4.955721426269283,140.58747241111553,1.0
560000,0.70917714,0.6991752,2.867386,424.59090909090907,8.328234178864438,4.164117089432219,138.4316117303527,1.0
570000,0.73410994,0.6885219,2.8918858,464.84,8.53026939034462,4.26513469517231,153.5176506474614,1.0
580000,0.6901938,0.72402376,2.883174,454.42105263157896,10.669935311079024,5.334967655539512,154.5892792920582,1.0
590000,0.66758,0.72841525,2.8950028,472.8,10.617258054368635,5.308629027184318,147.10837901865736,1.0
600000,0.6125867,0.66229117,2.7532284,475.3529411764706,7.443713103554079,3.7218565517770394,163.30757489082004,1.0
610000,0.7065768,0.70712173,2.8976731,509.35,9.747929056547582,4.873964528273791,163.36938257738947,1.0
620000,0.6747326,0.72179985,3.045076,436.125,9.537574184437593,4.768787092218797,148.2259885085126,1.0
630000,0.5190466,0.6579667,2.8961475,455.0,7.358799104019999,3.6793995520099996,141.6572190795094,1.0
640000,0.6337351,0.6747826,3.0267456,494.77272727272725,7.9917535854672845,3.9958767927336423,159.51250118728387,1.0
650000,0.681474,0.73755443,3.1419044,473.9166666666667,12.15501586596171,6.077507932980855,176.4751544088746,1.0
660000,0.5979652,0.7687061,2.91551,434.05,10.687989257834852,5.343994628917426,146.31451297408057,1.0
670000,0.54451644,0.76349604,2.9224486,463.2857142857143,8.478570442469348,4.239285221234674,141.56789944941798,1.0
680000,0.5303906,0.6842408,2.6917326,460.40909090909093,8.203171898949552,4.101585949474776,141.2831681986678,1.0
690000,0.55580646,0.7682544,2.8700635,489.0,11.15199925750494,5.57599962875247,172.821444973466,1.0
700000,0.47645342,0.7191389,2.6797497,517.0526315789474,7.2648096021852995,3.6324048010926497,139.91371809730404,1.0
710000,0.5598543,0.6751959,2.786227,528.0,11.415032365669807,5.707516182834904,176.97591536084656,1.0
720000,0.5356976,0.7341338,2.859882,510.15,10.697769017424434,5.348884508712217,174.13658212106674,1.0
730000,0.47621876,0.69996536,2.73445,495.2,10.40075905720393,5.200379528601965,166.47368373076122,1.0
740000,0.51864314,0.7061017,2.7827017,559.1052631578947,5.966925244582327,2.9834626222911633,163.3650864715639,1.0
750000,0.55278254,0.72967917,2.9250844,475.88,10.944623147249223,5.472311573624611,166.46248130014166,1.0
760000,0.5039065,0.79653114,2.982202,482.42105263157896,9.903314966904489,4.951657483452244,138.68086955029713,1.0
770000,0.5432728,0.80205816,3.0055625,466.95454545454544,9.860953971743584,4.930476985871792,158.11409099603242,1.0
780000,0.4910066,0.7566523,2.8062139,450.5217391304348,8.692303635503935,4.346151817751967,136.29346706264693,1.0
790000,0.5127811,0.79286426,2.696109,470.9047619047619,9.855420340048639,4.927710170024319,136.37109390920713,1.0
800000,0.4844309,0.6862915,2.5158799,428.0869565217391,9.231647483557463,4.615823741778732,136.55946510430425,1.0
810000,0.5274908,0.77918,2.7225718,485.76190476190476,10.759789541186322,5.379894770593161,146.13129399025016,1.0
820000,0.49455312,0.8388212,2.8050427,457.35,10.358329286240041,5.1791646431200205,133.88689249884337,1.0
830000,0.48966905,0.7841458,2.757102,478.32,9.362540981499478,4.681270490749739,149.74953033371517,1.0
840000,0.40435308,0.75939614,2.389697,387.1578947368421,5.871369094215334,2.935684547107667,118.66551355058473,1.0
850000,0.42397177,0.79551625,2.5360434,487.2352941176471,8.078822825542268,4.039411412771134,161.70582008126246,1.0
860000,0.4301273,0.7134492,2.6188107,490.72727272727275,7.376037201711109,3.6880186008555547,149.27347409064393,1.0
870000,0.49933138,0.7386591,2.8496504,566.047619047619,10.252635658295317,5.126317829147658,179.27871029925618,1.0
880000,0.44062364,0.78822255,2.8463652,464.9,8.356819072365761,4.178409536182881,149.97146482514216,1.0
890000,0.3920151,0.6401236,2.449705,420.2307692307692,5.8762231712043285,2.9381115856021642,118.46678078889846,1.0
900000,0.47307542,0.8062979,2.9061337,462.6190476190476,8.273199244255299,4.136599622127649,140.01866035719746,1.0
910000,0.43346915,0.66292435,2.5810003,464.28,7.949566036462784,3.974783018231392,141.00144548137905,1.0
920000,0.44772583,0.6618616,2.5769577,417.0952380952381,9.436686439439654,4.718343219719827,130.5532599564581,1.0
930000,0.5101373,0.739035,2.812673,510.7368421052632,9.662170369532847,4.831085184766423,139.99398202613173,1.0
940000,0.3929454,0.5741641,2.281376,395.1923076923077,6.843837985697274,3.421918992848637,103.97278499123283,1.0
950000,0.49358377,0.7031967,2.7490966,448.42857142857144,9.029161213409333,4.5145806067046665,140.26187642663717,1.0
960000,0.45876563,0.72527295,2.558098,447.6363636363636,8.660272038795732,4.330136019397866,134.66072874355385,1.0
970000,0.38444152,0.7011547,2.3646402,442.35,7.711329398117959,3.8556646990589796,127.2053211725317,1.0
980000,0.38647738,0.63221264,2.3933153,551.1052631578947,8.547472902034459,4.273736451017229,153.40772073392412,1.0
990000,0.46052477,0.73480034,2.7274685,480.1304347826087,8.14290393743178,4.07145196871589,146.73377944071493,1.0
1000000,0.43486428,0.6800075,2.5772707,441.0869565217391,8.585494978758303,4.292747489379152,130.71929922967178,1.0
1010000,0.45966285,0.7955662,2.6174119,484.1666666666667,11.541854564928347,5.770927282464173,152.12246797109643,1.0
1020000,0.40617278,0.6426289,2.4138186,481.25,4.75771550508216,2.37885775254108,128.2751474516699,1.0
1030000,0.42210844,0.72390944,2.598719,416.5263157894737,6.918709193728864,3.459354596864432,114.40381978470832,1.0
1040000,0.4018613,0.5636892,2.3196778,468.9130434782609,7.101668808042355,3.5508344040211774,128.7126600354424,1.0
1050000,0.36244664,0.58825237,1.9305433,420.3181818181818,4.279372003606775,2.1396860018033874,93.42201356437396,1.0
1060000,0.3959285,0.60963213,2.384939,458.7894736842105,8.020355039172703,4.010177519586351,126.21486179189135,1.0
1070000,0.37436685,0.5271131,2.3319135,511.8333333333333,5.556991024985909,2.7784955124929547,137.62056251473726,1.0
1080000,0.39709902,0.6491429,2.7289336,446.95,6.26040938347578,3.13020469173789,128.29778143912554,1.0
1090000,0.46197483,0.67139906,2.6985595,459.7083333333333,7.803691068508972,3.901845534254486,124.37609436952334,1.0
1100000,0.41126597,0.5799885,2.578257,460.15,9.15776934409514,4.57888467204757,150.67250921646627,1.0
1110000,0.3338551,0.5550316,2.318673,445.375,6.264890611171722,3.132445305585861,125.11509403124607,1.0
1120000,0.4222495,0.66934663,2.667554,524.4736842105264,9.237009414520703,4.618504707260351,139.63386655755733,1.0
1130000,0.4291867,0.6073633,2.3139222,494.5,6.696353430605748,3.348176715302874,117.55707321883264,1.0
1140000,0.36198983,0.6478919,2.3017292,442.0,9.601875475652161,4.8009377378260805,141.8095611528316,1.0
1150000,0.41493213,0.65365094,2.6496708,470.2857142857143,7.282019110769033,3.6410095553845165,124.34032234326006,1.0
1160000,0.3709409,0.5771995,2.4740982,451.8333333333333,5.948263089805842,2.974131544902921,122.38948882579804,1.0
1170000,0.39578077,0.7042945,2.4733315,458.9047619047619,8.62230378850585,4.311151894252925,139.43658119868044,1.0
1180000,0.38328046,0.66050094,2.5661385,444.4736842105263,7.016167468734477,3.5080837343672386,126.57469460963712,1.0
1190000,0.45467773,0.750228,2.750147,520.4444444444445,10.173487889063027,5.086743944531514,165.177954354608,1.0
1200000,0.4328115,0.76971674,2.787015,503.69565217391306,11.55123393010834,5.77561696505417,145.3504706483496,1.0
1210000,0.38106528,0.6764325,2.5352335,423.32,9.875135397538543,4.937567698769271,122.68884366171434,1.0
1220000,0.4436672,0.78046054,2.671771,519.7777777777778,10.13248161642867,5.066240808214335,142.89876927036505,1.0
